,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
135,Rollin',"Brave Girls",1834,https://open.spotify.com/track/4ajYy2PqT3czWrpI4rgmIP
136,"Strawberries & Cigarettes","Troye Sivan",1832,https://open.spotify.com/track/3afkJSKX0EAMsJXTZnDXXJ
137,Antifreeze,"Yerin Baek",1831,https://open.spotify.com/track/4rBoCpnlrW5c5F1hiYQ0GT
138,"Oh My God",Adele,1823,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
139,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",1795,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
140,Moon,BTS,1789,https://open.spotify.com/track/6KhAXXgDtEEahVzATvFNcn
141,"Watermelon Sugar","Harry Styles",1775,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
142,"Day & Night (feat. Jay Park)","Lee Young Ji",1758,https://open.spotify.com/track/7IuuFQShxmy7zMZ3vZvMFj
143,"Dun Dun Dance","OH MY GIRL",1752,https://open.spotify.com/track/54HsCR7lJJdwxmEnTY1JfF
144,"Just Look Up (From Don’t Look Up)","Ariana Grande",1751,https://open.spotify.com/track/3QPBocWfIcOCdFFvmqn60F
145,"I Like Me Better",Lauv,1748,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
146,"Square (2017)","Yerin Baek",1745,https://open.spotify.com/track/13On7DYsJ3IrWxBWuOwM8t
147,ONLY,LeeHi,1742,https://open.spotify.com/track/6TBJkXHPhu3EsMk1bshwuI
148,"On The Ground",ROSÉ,1740,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
149,"Reset (Feat. Gaeko, Kid Milli) (Prod. CODE KUNST)",SINCE,1736,https://open.spotify.com/track/5oD7cKg3DRl2HFuybvVsI5
150,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1731,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
151,LALISA,LISA,1726,https://open.spotify.com/track/7uQZVznj0uQOGC9KhV2Mg6
152,Epiphany,BTS,1725,https://open.spotify.com/track/6L88EH68XwlaXwvChlTS41
153,Timeless,"SG Wannabe",1724,https://open.spotify.com/track/5nfb7IPrj9awskmLFSykWr
154,"Every day, Every Moment","Paul Kim",1720,https://open.spotify.com/track/3Ml2s37uS9jqRM2R3bfDiB
155,"Angel Baby","Troye Sivan",1713,https://open.spotify.com/track/2m6Ko3CY1qXNNja8AlugNc
156,"OUT OF MY SIGHT",Leellamarz,1713,https://open.spotify.com/track/0hUH6MXHQn9coBKHMXWpD8
157,"I Love You So","The Walters",1708,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
158,"double take",dhruv,1705,https://open.spotify.com/track/47isJpIIO8m7BJEhiFhnaf
159,Memories,"Maroon 5",1694,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI
160,"TROUBLE (Prod. Slom)","Don Mills",1678,https://open.spotify.com/track/5UJTNrW72ZMubW2wKBf8g2
161,"drivers license","Olivia Rodrigo",1678,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
162,"To You My Light (feat. Lee Raon)",MAKTUB,1673,https://open.spotify.com/track/5kPpA4aMFeAQnahSnTIOi4
163,"Christmas Tree - Inst.",V,1667,https://open.spotify.com/track/37rnSr2ZCkzqmoUqGQtn4q
164,Alcohol-Free,TWICE,1662,https://open.spotify.com/track/3iPbmpKBMflYd7UjdYftoj
165,"I AM WOMAN","Emmy Meli",1660,https://open.spotify.com/track/3nOz1U41SZZ0N3fuUWr9nb
166,"Uniform (Feat. pH-1)",Woo,1659,https://open.spotify.com/track/3BRho9Ns4EUOwx55PZJgTn
167,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",1653,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
168,"Go Back",MeloMance,1651,https://open.spotify.com/track/4SQH8x0PnOqEWWgbAlXIXJ
169,Nothing,"Bruno Major",1648,https://open.spotify.com/track/2IAR0DziHCjSu16gR4ihvy
170,instagram,DEAN,1640,https://open.spotify.com/track/6z1kLsntE7FuzKZHZWrXYN
171,Filter,BTS,1629,https://open.spotify.com/track/4bZZVcgWWMWPBwzTTp642w
172,GONE,Leellamarz,1627,https://open.spotify.com/track/2fzucOTof4pxCDG6u8iiGY
173,"Never Not",Lauv,1613,https://open.spotify.com/track/4fFfyouye6vrX9o9z4PVMu
174,"08Basick (Feat. Yumdda, punchnello)",Basick,1605,https://open.spotify.com/track/0o420trQgUtPnbMgCEAEKi
175,comethru,"Jeremy Zucker",1596,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
176,Toxic,BoyWithUke,1595,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
