,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
155,"favorite crime","Olivia Rodrigo",252433,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
156,Robbery,"Juice WRLD",252085,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
157,telepatía,"Kali Uchis",249898,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
158,"XO Tour Llif3","Lil Uzi Vert",249009,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
159,"For Tonight",Giveon,248503,https://open.spotify.com/track/61Emqg95O9zo1GNOcyxq4Y
160,"Whiskey Glasses","Morgan Wallen",248341,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
161,"Come & Go (with Marshmello)","Juice WRLD",246625,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
162,"Looking Out for You","Joy Again",244488,https://open.spotify.com/track/3jfZ9M23l0L7RxzYMTgBTv
163,"Jocelyn Flores",XXXTENTACION,243848,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
164,"Wishing Well","Juice WRLD",243231,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
165,"Big Energy",Latto,242832,https://open.spotify.com/track/6Zu3aw7FfjAF9WA0fA81Oq
166,Heather,"Conan Gray",241433,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
167,"Lost in the Fire (feat. The Weeknd)",Gesaffelstein,241433,https://open.spotify.com/track/2vXKRlJBXyOcvZYTdNeckS
168,Redbone,"Childish Gambino",241141,https://open.spotify.com/track/0wXuerDYiBnERgIpbb3JBR
169,"It'll Be Okay","Shawn Mendes",240649,https://open.spotify.com/track/2KnLkZ3z7PO3kgVGHGqDpD
170,"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,238688,https://open.spotify.com/track/30QR0ndUdiiMQMA9g1PGCm
171,"Work Out","J. Cole",237135,https://open.spotify.com/track/2wAJTrFhCnQyNSD3oUgTZO
172,DÁKITI,"Bad Bunny",236116,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
173,"LOVE. FEAT. ZACARI.","Kendrick Lamar",235789,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
174,"Dreams - 2004 Remaster","Fleetwood Mac",235699,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
175,"Sand In My Boots","Morgan Wallen",235562,https://open.spotify.com/track/0uRrG2jRR5tuifsYIJHEao
176,goosebumps,"Travis Scott",234620,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
177,"Washing Machine Heart",Mitski,233886,https://open.spotify.com/track/3jjsRKEsF42ccXf8kWR3nu
178,"my ex's best friend (with blackbear)","Machine Gun Kelly",232669,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
179,"Electric Love",BØRNS,232420,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
180,"Mood (feat. iann dior)",24kGoldn,232190,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
181,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",229122,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
182,"Star Shopping","Lil Peep",228896,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
